Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,r5
20192017,2022:02:22,화,10:19:25 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20192017,2022:02:22,화,10:25:51 AM,version=0.1,Test,0,3,10,5,0.0012224,177.2767,0.002020407,177.2767,0.001178075,177.2767,0.05225966,4.045204,0.09788759,4.045204
20192017,2022:02:22,화,10:26:33 AM,version=0.1,Test,0,3,10,5,0.00268697,177.2681,0.002713556,177.2681,0.003342388,177.2681,0.08289005,2.129368,0.06876957,2.129368
20192017,2022:02:22,화,10:28:54 AM,version=0.1,Test,0,3,10,5,0.007648485,178.7055,0.006572566,178.7055,0.008894062,178.7055,0.07291579,0.309643,0.07345826,0.309643
20155428,2022:02:22,화,11:44:11 AM,version=0.1,Test,,Start,,,,,,,,,,,,
20155428,2022:02:22,화,11:51:42 AM,version=0.1,Test,0,3,10,5,0.001036773,177.2665,0.002094191,177.2665,0.003069126,177.2665,0.07752575,1.672925,0.07654987,1.672925
20155428,2022:02:22,화,11:52:28 AM,version=0.1,Test,0,3,10,5,0.001474668,179.352,0.001892269,179.352,0.001068812,179.352,0.06414384,1.887823,0.08514492,1.887823
20155428,2022:02:22,화,11:53:12 AM,version=0.1,Test,0,3,10,5,0.003695603,174.4436,0.006280979,174.4436,0.001876676,174.4436,0.06938797,4.724556,0.07289915,4.724556
20192001,2022:02:22,화,12:43:05 PM,version=0.1,Test,,Start,,,,,,,,,,,,
20192001,2022:02:22,화,12:49:11 PM,version=0.1,Test,0,3,10,5,0.003433992,177.0922,0.003488265,177.0922,0.003699787,177.0922,0.06145252,4.234755,0.09085799,4.234755
20192001,2022:02:22,화,12:49:43 PM,version=0.1,Test,0,3,10,5,0.003530293,179.0874,0.004227444,179.0874,0.003245989,179.0874,0.06627873,2.209746,0.08284238,2.209746
20192001,2022:02:22,화,12:50:24 PM,version=0.1,Test,0,3,10,5,0.004079938,178.1404,0.002916081,178.1404,0.005366819,178.1404,0.07149394,2.340507,0.07497127,2.340507
