Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6,r7,t7,r8,t8
20192017,2022:02:22,화,10:19:25 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20192017,2022:02:22,화,10:20:59 AM,version=0.1,Test,0,3,16,8,0.003274639,176,0.002807025,176,0.00470764,176,0.004072224,178.496,0.004266316,178.496,0.003893587,178.496,0.06931917,3.397708,0.07603655,3.397708
20192017,2022:02:22,화,10:22:19 AM,version=0.1,Test,0,3,16,8,0.002950954,177.4069,0.004250879,177.4069,0.002260258,177.4069,0.00474627,176.8804,0.00623641,176.8804,0.003559229,176.8804,0.07942335,1.1366,0.0687946,1.1366
20192017,2022:02:22,화,10:24:08 AM,version=0.1,Test,0,3,16,8,0.008351405,179.4013,0.01112848,179.4013,0.005626417,179.4013,0.005781188,179.4564,0.006696013,179.4564,0.005442939,179.4564,0.06884252,0.9354453,0.07252803,0.9354453
20155428,2022:02:22,화,11:44:11 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20155428,2022:02:22,화,11:46:28 AM,version=0.1,Test,0,3,16,8,0.004443756,176.7031,0.005669359,176.7031,0.003439932,176.7031,0.003044471,175.4717,0.006199916,175.4717,0.000371755,175.4717,0.07250457,2.075092,0.08291013,2.075092
20155428,2022:02:22,화,11:47:59 AM,version=0.1,Test,0,3,16,8,0.004922094,178.9495,0.006161833,178.9495,0.00408456,178.9495,0.005212578,176.9435,0.006425579,176.9435,0.00453054,176.9435,0.0829779,2.019164,0.06599414,2.019164
20155428,2022:02:22,화,11:50:00 AM,version=0.1,Test,0,3,16,8,0.001700244,179.5511,0.001837679,179.5511,0.001716503,179.5511,0.001748774,178.3206,0.002898345,178.3206,0.001435446,178.3206,0.08037642,1.931379,0.0693077,1.931379
20192001,2022:02:22,화,12:43:05 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,,,,,
20192001,2022:02:22,화,12:44:51 PM,version=0.1,Test,0,3,16,8,0.007072715,177.2731,0.008566633,177.2731,0.006687499,177.2731,0.005055903,179.2462,0.00549486,179.2462,0.006781286,179.2462,0.05687718,3.289084,0.09207603,3.289084
