Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4,r5,t5,r6,t6
20192017,2022:02:22,화,10:02:13 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192017,2022:02:22,화,10:09:51 AM,version=0.1,Test,0,7,14,6,0.004526989,179.5506,0.003712007,178.5245,0.002434457,179.4914,0.003147146,179.5652,0.003357909,178.1343,0.004830126,177.2649
20192017,2022:02:22,화,10:11:15 AM,version=0.1,Test,0,7,14,6,0.002230434,179.8442,0.004427654,179.4673,0.000876987,179.8781,0.002673731,179.9604,0.005991683,179.4736,0.004147926,179.972
20192017,2022:02:22,화,10:12:37 AM,version=0.1,Test,0,7,14,6,0.001870536,179.3801,0.002491871,179.3442,0.001161917,179.9093,0.001813567,179.3884,0.000746674,179.5572,0.002385402,179.7
20155428,2022:02:22,화,11:15:53 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20155428,2022:02:22,화,11:34:57 AM,version=0.1,Test,0,7,14,6,0.000550803,179.9604,0.001124113,178.6866,0.000681229,179.0164,0.000976699,179.5454,0.000430237,179.9374,0.000320175,179.8718
20155428,2022:02:22,화,11:36:55 AM,version=0.1,Test,0,7,14,6,0.000382319,179.3993,0.000945557,179.0546,0.000555045,178.9456,0.000311951,179.4968,0.00044964,179.9315,0.000307664,179.1675
20155428,2022:02:22,화,11:38:29 AM,version=0.1,Test,0,7,14,6,0.000160005,179.6816,0.000455055,178.1323,0.000314456,178.2662,0.000801619,178.8722,0.000347351,179.5463,0.000796431,179.389
20192001,2022:02:22,화,12:22:18 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192001,2022:02:22,화,12:31:01 PM,version=0.1,Test,0,7,14,6,0.000484469,178.6906,0.000218915,179.4929,0.000731507,179.2361,0.001012505,179.1388,0.000819451,179.3262,0.000752855,180
20192001,2022:02:22,화,12:32:26 PM,version=0.1,Test,0,7,14,6,0.000398731,179.1323,0.000553965,178.7257,0.001571856,179.8573,0.001007047,178.8495,8.20E-05,179.5054,0.000882181,178.9491
20192001,2022:02:22,화,12:34:40 PM,version=0.1,Test,0,7,14,6,0.000147815,179.241,0.000535162,179.4918,0.000737577,179.4547,0.000612206,179.6562,0.000419654,177.159,0.000433247,179.2657
20215578,2022:02:22,화,1:12:26 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20215578,2022:02:22,화,1:44:54 PM,version=0.1,Test,0,7,14,6,0.000987827,179.2691,0.00025996,179.3085,0.000624311,177.4783,0.000468073,179.1182,0.000893649,179.0143,0.001354846,179.6247
20215578,2022:02:22,화,1:46:12 PM,version=0.1,Test,0,7,14,6,0.00168993,177.1331,0.002220108,179.2092,0.000754339,178.0226,0.000939818,178.119,0.000125531,179.3553,0.000407427,179.7059
20215578,2022:02:22,화,1:47:31 PM,version=0.1,Test,0,7,14,6,0.00164759,178.2562,0.000257749,179.7451,0.000258504,179.1899,0.001350452,179.5528,0.000853539,178.3672,0.000637345,177.478
20182033,2022:02:22,화,2:20:00 PM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20182033,2022:02:22,화,2:30:40 PM,version=0.1,Test,0,7,14,6,0.000773627,179.9051,0.000475386,178.8439,0.000397308,176.8584,0.000233469,176.8047,0.000378024,176.9061,0.000736468,175.9235
20182033,2022:02:22,화,2:33:04 PM,version=0.1,Test,0,7,14,6,0.000890619,177.7926,0.001261875,178.6632,0.000527645,177.6746,0.000764708,178.204,0.000351587,174.5754,0.001568766,178.2035
20182033,2022:02:22,화,2:34:23 PM,version=0.1,Test,0,7,14,6,0.00119652,176.5865,0.000873862,176.6137,0.000915048,179.8644,0.000731169,174.9003,0.001726328,174.8864,0.001128822,178.4635
20192017,2022:02:23,수,11:02:21 AM,version=0.1,Test,,Start,,,,,,,,,,,,,,
20192017,2022:02:23,수,11:11:08 AM,version=0.1,Test,0,7,14,6,0.001448497,178.7807,0.001454481,179.5352,0.004000336,178.2545,0.001186029,179.1781,0.003893145,178.7299,0.001953762,178.6937
