Username,Date,Day,Time,version,task,pass,Components,Connectors,Edges,r1,t1,r2,t2,r3,t3,r4,t4
20192017,2022:02:22,화,10:02:13 AM,version=0.1,Test,,Start,,,,,,,,,,
20192017,2022:02:22,화,10:03:08 AM,version=0.1,Test,0,5,10,4,0.005279371,178.6637,0.0061027,179.3788,0.005733363,178.7581,0.005483618,179.1063
20192017,2022:02:22,화,10:03:52 AM,version=0.1,Test,0,5,10,4,0.001188878,179.0071,0.006173182,178.012,0.006151815,178.9175,0.005772649,178.6414
20192017,2022:02:22,화,10:04:32 AM,version=0.1,Test,0,5,10,4,0.004552504,179.5331,0.005612049,179.5502,0.005207664,178.4233,0.004827234,179.6872
20155428,2022:02:22,화,11:15:53 AM,version=0.1,Test,,Start,,,,,,,,,,
20155428,2022:02:22,화,11:18:19 AM,version=0.1,Test,0,5,10,4,0.000329119,178.5181,0.00055843,179.0793,0.000933025,178.0836,0.000842071,179.2845
20155428,2022:02:22,화,11:20:36 AM,version=0.1,Test,0,5,10,4,0.000526446,179.666,0.000434569,178.8007,0.000341304,178.5468,0.000414945,179.6489
20155428,2022:02:22,화,11:21:38 AM,version=0.1,Test,0,5,10,4,0.00029758,178.2173,0.000288315,179.2702,0.00087712,179.3884,0.000276702,178.9224
20192001,2022:02:22,화,12:22:18 PM,version=0.1,Test,,Start,,,,,,,,,,
20192001,2022:02:22,화,12:23:17 PM,version=0.1,Test,0,5,10,4,0.00015154,179.0842,0.000521484,179.6439,0.000862066,178.8686,0.000545077,177.2099
20192001,2022:02:22,화,12:24:08 PM,version=0.1,Test,0,5,10,4,0.000843526,179.3496,0.000266409,179.2745,0.000551349,179.7072,0.000942921,179.5211
20192001,2022:02:22,화,12:25:11 PM,version=0.1,Test,0,5,10,4,0.000587448,178.2297,0.000161275,179.856,0.00068184,178.5412,0.000855388,178.7401
20215578,2022:02:22,화,1:12:26 PM,version=0.1,Test,,Start,,,,,,,,,,
20215578,2022:02:22,화,1:14:23 PM,version=0.1,Test,0,5,10,4,0.000984226,179.555,0.000360914,178.5305,0.000607464,179.9315,0.000444685,179.6326
20215578,2022:02:22,화,1:16:03 PM,version=0.1,Test,0,5,10,4,0.000428135,179.1779,0.000476302,179.4972,0.001191737,180,0.000858489,179.2303
20215578,2022:02:22,화,1:18:23 PM,version=0.1,Test,0,5,10,4,0.000621585,179.2873,0.00064652,178.6058,0.000942776,178.1069,0.000589728,178.5578
20182033,2022:02:22,화,2:20:00 PM,version=0.1,Test,,Start,,,,,,,,,,
20182033,2022:02:22,화,2:21:23 PM,version=0.1,Test,0,5,10,4,0.000928733,178.7091,0.001454941,177.5986,0.001055104,176.2343,0.001815337,178.6324
20182033,2022:02:22,화,2:22:16 PM,version=0.1,Test,0,5,10,4,0.001472142,177.2691,0.001428305,172.6561,0.000721,177.5296,0.001192565,175.7724
20182033,2022:02:22,화,2:23:06 PM,version=0.1,Test,0,5,10,4,0.004234216,173.9915,0.00121803,175.8374,5.86E-05,178.3589,0.001903414,179.6129
20192017,2022:02:23,수,11:02:21 AM,version=0.1,Test,,Start,,,,,,,,,,
20192017,2022:02:23,수,11:02:59 AM,version=0.1,Test,0,5,10,4,0.005903107,179.8673,0.005084191,179.5898,0.001749037,179.5285,0.001944196,178.1614
20192017,2022:02:23,수,11:03:49 AM,version=0.1,Test,0,5,10,4,0.001291173,179.381,0.000457629,179.4009,0.001948069,179.0742,0.001286705,179.6804
20192017,2022:02:23,수,11:04:26 AM,version=0.1,Test,0,5,10,4,0.000223584,179.0585,0.003411481,176.0932,0.001701209,179.9604,0.003319557,178.4405
20192017,2022:02:23,수,11:05:02 AM,version=0.1,Test,0,5,10,4,0.003408222,178.6763,0.002973128,179.6731,0.002763633,178.0448,0.004455838,179.7521
20155428,2022:02:23,수,12:01:52 PM,version=0.1,Test,,Start,,,,,,,,,,
20155428,2022:02:23,수,12:03:04 PM,version=0.1,Test,0,5,10,4,0.000211148,179.666,0.001017396,178.1585,0.000273706,178.8468,0.00066471,179.5265
20155428,2022:02:23,수,12:04:07 PM,version=0.1,Test,0,5,10,4,0.000999631,179.5753,0.000719524,178.6793,0.001271105,179.126,0.000594202,179.4273
20155428,2022:02:23,수,12:05:11 PM,version=0.1,Test,0,5,10,4,0.00099587,178.7501,0.000603531,177.8977,0.000508871,179.5327,0.000971692,178.977
20155428,2022:02:23,수,12:06:25 PM,version=0.1,Test,0,5,10,4,0.000394845,179.1372,0.000722299,178.1169,0.00073131,178.5399,0.000744852,179.2402
20192001,2022:02:23,수,12:56:00 PM,version=0.1,Test,,Start,,,,,,,,,,
20192001,2022:02:23,수,12:56:47 PM,version=0.1,Test,0,5,10,4,0.000670929,178.2153,0.000358219,178.3105,0.000752677,179.4052,0.001006366,179.3268
20192001,2022:02:23,수,12:57:23 PM,version=0.1,Test,0,5,10,4,0.00051748,177.5774,0.001084176,178.8285,9.99E-05,179.2625,0.000723075,179.6467
20192001,2022:02:23,수,12:58:13 PM,version=0.1,Test,0,5,10,4,0.000687284,179.8847,0.000927644,179.3403,0.000206384,178.9562,0.000654125,179.2923
20192001,2022:02:23,수,12:59:00 PM,version=0.1,Test,0,5,10,4,0.00037882,178.4205,0.000504368,179.6268,0.000294504,179.4999,0.000697315,179.2023
20215578,2022:02:23,수,1:37:41 PM,version=0.1,Test,,Start,,,,,,,,,,
20215578,2022:02:23,수,1:38:49 PM,version=0.1,Test,0,5,10,4,0.000876235,178.3663,0.00183473,178.4476,0.000593733,178.7208,0.002261942,177.8449
20215578,2022:02:23,수,1:39:38 PM,version=0.1,Test,0,5,10,4,0.00133883,178.4461,0.00056714,178.3129,0.000719885,176.9993,0.000897005,178.5695
20215578,2022:02:23,수,1:40:21 PM,version=0.1,Test,0,5,10,4,0.00167822,176.9906,0.000354346,179.5936,0.001498576,178.1264,0.001163605,179.4461
20215578,2022:02:23,수,1:41:16 PM,version=0.1,Test,0,5,10,4,0.001034391,177.4374,0.000505707,178.0144,0.000479898,177.034,0.002894397,178.827
20182033,2022:02:23,수,3:22:08 PM,version=0.1,Test,,Start,,,,,,,,,,
20182033,2022:02:23,수,3:23:21 PM,version=0.1,Test,0,5,10,4,0.000473981,176.8275,0.000730503,178.3059,0.000294705,179.6139,0.000401445,178.8858
20182033,2022:02:23,수,3:23:57 PM,version=0.1,Test,0,5,10,4,0.000814194,178.0368,0.00015193,178.628,0.000733233,177.0287,0.001559525,179.4454
20182033,2022:02:23,수,3:25:50 PM,version=0.1,Test,0,5,10,4,0.000593288,178.6787,0.000533968,177.3455,0.000807257,179.7147,0.00082667,179.157
20182033,2022:02:23,수,3:26:44 PM,version=0.1,Test,0,5,10,4,0.00084734,178.494,0.000339858,179.0329,0.000604164,178.4887,0.000762594,177.141
20155428,2022:02:24,목,9:20:06 AM,version=0.1,Test,,Start,,,,,,,,,,
20155428,2022:02:24,목,9:21:26 AM,version=0.1,Test,0,5,10,4,0.000684576,179.7561,0.00107452,179.0711,0.000267305,179.5813,0.000908302,178.7253
20155428,2022:02:24,목,9:22:30 AM,version=0.1,Test,0,5,10,4,0.000505665,179.3042,0.000380772,179.258,0.00051036,178.8333,0.001341908,179.3389
20155428,2022:02:24,목,9:23:35 AM,version=0.1,Test,0,5,10,4,0.000638116,179.2318,0.000405858,179.3541,0.000404912,178.4202,0.000362765,178.9082
